[Latitude],[Longitude],[Value]
-76.00,-167.27,486
-75.46,-169.00,486
-75.08,-170.00,486
-74.48,-171.00,486
-74.00,-171.68,486
-73.66,-172.00,486
-73.00,-172.67,486
-72.00,-172.72,486
-71.36,-172.00,486
-71.00,-171.62,486
-70.58,-171.00,486
-70.00,-170.16,486
-69.29,-169.00,486
-68.62,-168.00,486
-68.00,-167.11,486
-67.00,-166.24,486
-66.53,-166.00,486
-66.00,-165.76,486
-65.00,-165.36,486
-64.43,-165.00,486
-64.00,-164.76,486
-63.00,-164.21,486
-62.00,-163.16,486
-61.48,-162.00,486
-61.06,-161.00,486
-60.78,-160.00,486
-60.53,-159.00,486
-60.30,-158.00,486
-60.10,-157.00,486
-59.94,-156.00,486
-59.80,-155.00,486
-59.69,-154.00,486
-59.58,-153.00,486
-59.49,-152.00,486
-59.42,-151.00,486
-59.37,-150.00,486
-59.33,-149.00,486
-59.31,-148.00,486
-59.32,-147.00,486
-59.34,-146.00,486
-59.36,-145.00,486
-59.39,-144.00,486
-59.40,-143.00,486
-59.42,-142.00,486
-59.43,-141.00,486
-59.43,-140.00,486
-59.43,-139.00,486
-59.42,-138.00,486
-59.42,-137.00,486
-59.43,-136.00,486
-59.48,-135.00,486
-59.58,-134.00,486
-59.70,-133.00,486
-59.82,-132.00,486
-59.94,-131.00,486
-60.04,-130.00,486
-60.13,-129.00,486
-60.22,-128.00,486
-60.28,-127.00,486
-60.31,-126.00,486
-60.32,-125.00,486
-60.32,-124.00,486
-60.31,-123.00,486
-60.28,-122.00,486
-60.21,-121.00,486
-60.13,-120.00,486
-60.02,-119.00,486
-59.90,-118.00,486
-59.75,-117.00,486
-59.54,-116.00,486
-59.27,-115.00,486
-59.00,-114.00,486
-58.73,-113.00,486
-58.40,-112.00,486
-58.14,-111.00,486
-58.01,-110.00,486
-58.29,-109.00,486
-59.00,-108.35,486
-59.49,-108.00,486
-60.00,-107.59,486
-60.57,-107.00,486
-61.00,-106.55,486
-62.00,-106.03,486
-63.00,-105.41,486
-63.65,-105.00,486
-64.00,-104.74,486
-65.00,-104.12,486
-66.00,-103.67,486
-67.00,-103.48,486
-68.00,-103.64,486
-68.65,-104.00,486
-69.00,-104.20,486
-69.74,-105.00,486
-70.54,-106.00,486
-71.00,-106.76,486
-71.74,-108.00,486
-72.15,-109.00,486
-72.47,-110.00,486
-72.77,-111.00,486
-73.05,-112.00,486
-73.29,-113.00,486
-73.52,-114.00,486
-73.78,-115.00,486
-74.00,-116.39,486
-74.37,-118.00,486
-74.64,-120.00,486
-74.92,-122.00,486
-75.14,-124.00,486
-75.42,-126.00,486
-75.75,-128.00,486
