[Latitude],[Longitude],[Value]
-76.00,53.24,486
-75.47,52.00,486
-75.17,51.00,486
-74.89,50.00,486
-74.66,49.00,486
-74.44,47.00,486
-74.34,45.00,486
-74.28,43.00,486
-74.21,41.00,486
-74.14,39.00,486
-74.00,37.06,486
-73.83,35.00,486
-73.61,33.00,486
-73.31,31.00,486
-73.12,30.00,486
-72.88,28.00,486
-72.64,27.00,486
-72.30,26.00,486
-72.00,25.53,486
-71.65,25.00,486
-71.00,24.21,486
-70.00,23.07,486
-69.60,23.00,486
-69.00,22.91,486
-68.56,23.00,486
-68.00,23.10,486
-67.00,23.57,486
-66.41,24.00,486
-66.00,24.28,486
-65.24,25.00,486
-64.32,26.00,486
-64.00,26.38,486
-63.51,27.00,486
-63.00,27.65,486
-62.03,29.00,486
-61.46,30.00,486
-61.00,30.66,486
-60.25,32.00,486
-59.72,33.00,486
-59.32,34.00,486
-59.00,34.76,486
-58.71,36.00,486
-58.52,37.00,486
-58.37,38.00,486
-58.27,39.00,486
-58.22,40.00,486
-58.21,41.00,486
-58.20,42.00,486
-58.16,43.00,486
-58.12,44.00,486
-58.05,45.00,486
-57.95,46.00,486
-57.84,47.00,486
-57.74,48.00,486
-57.66,49.00,486
-57.61,50.00,486
-57.57,51.00,486
-57.57,52.00,486
-57.61,53.00,486
-57.70,54.00,486
-57.93,55.00,486
-58.58,56.00,486
-59.00,56.33,486
-60.00,56.54,486
-61.00,56.38,486
-62.00,56.06,486
-62.34,56.00,486
-63.00,55.85,486
-64.00,55.38,486
-65.00,55.01,486
-66.00,54.31,486
-67.00,54.13,486
-67.88,53.00,486
-69.00,52.13,486
-69.42,52.00,486
-70.00,51.77,486
-71.00,51.65,486
-71.68,53.00,486
-71.95,54.00,486
-72.15,55.00,486
-72.32,57.00,486
-72.35,59.00,486
-72.35,61.00,486
-72.37,63.00,486
-72.43,65.00,486
-72.60,67.00,486
-72.76,69.00,486
-72.98,70.00,486
-73.93,71.00,486
-75.00,70.81,486
-75.91,70.00,486
-76.00,69.90,486

-76.00,-175.61,486
-75.36,-177.00,486
-75.04,-178.00,486
-74.68,180.00,486
-74.42,178.00,486
-74.21,176.00,486
-74.03,174.00,486
-73.90,172.00,486
-73.93,170.00,486
-73.97,168.00,486
-73.94,166.00,486
-73.51,164.00,486
-73.00,163.31,486
-72.37,164.00,486
-72.00,164.54,486
-71.54,166.00,486
-71.25,167.00,486
-71.07,168.00,486
-70.92,169.00,486
-70.67,170.00,486
-70.40,171.00,486
-70.00,172.00,486
-69.60,173.00,486
-69.00,173.72,486
-68.00,174.97,486
-67.15,176.00,486
-66.49,177.00,486
-66.00,177.84,486
-65.48,179.00,486
-65.08,180.00,486
-64.83,-179.00,486
-64.61,-178.00,486
-64.43,-177.00,486
-64.26,-176.00,486
-64.10,-175.00,486
-64.00,-174.23,486
-63.84,-173.00,486
-63.73,-172.00,486
-63.63,-171.00,486
-63.54,-170.00,486
-63.45,-169.00,486
-63.35,-168.00,486
-63.27,-167.00,486
-63.21,-166.00,486
-63.16,-165.00,486
-63.13,-164.00,486
-63.10,-163.00,486
-63.09,-162.00,486
-63.14,-161.00,486
-63.18,-160.00,486
-63.21,-159.00,486
-63.27,-158.00,486
-63.36,-157.00,486
-63.45,-156.00,486
-63.53,-155.00,486
-63.62,-154.00,486
-63.72,-153.00,486
-63.83,-152.00,486
-63.96,-151.00,486
-64.13,-150.00,486
-64.32,-149.00,486
-64.52,-148.00,486
-64.69,-147.00,486
-64.79,-146.00,486
-64.82,-145.00,486
-64.79,-144.00,486
-64.71,-143.00,486
-64.57,-142.00,486
-64.37,-141.00,486
-64.12,-140.00,486
-63.84,-139.00,486
-63.54,-138.00,486
-63.20,-137.00,486
-62.83,-136.00,486
-62.44,-135.00,486
-62.01,-134.00,486
-61.53,-133.00,486
-61.03,-132.00,486
-60.53,-131.00,486
-60.00,-130.01,486
-59.44,-129.00,486
-59.00,-128.18,486
-58.45,-127.00,486
-58.00,-126.02,486
-57.56,-125.00,486
-57.19,-124.00,486
-57.00,-123.49,486
-56.80,-123.00,486
-56.47,-122.00,486
-56.28,-121.00,486
-56.30,-120.00,486
-56.42,-119.00,486
-56.57,-118.00,486
-56.92,-117.00,486
-57.50,-116.00,486
-58.00,-115.32,486
-58.93,-114.00,486
-59.92,-113.00,486
-61.00,-112.17,486
-62.00,-111.59,486
-63.00,-111.27,486
-64.00,-111.18,486
-65.00,-111.25,486
-66.00,-111.55,486
-66.76,-112.00,486
-67.97,-113.00,486
-68.84,-114.00,486
-69.60,-115.00,486
-70.00,-115.62,486
-70.81,-117.00,486
-71.37,-118.00,486
-71.91,-119.00,486
-72.46,-120.00,486
-72.99,-121.00,486
-73.56,-122.00,486
-74.00,-122.98,486
-74.54,-124.00,486
-75.00,-124.95,486
-75.38,-126.00,486
-75.81,-127.00,486
-76.00,-127.71,486

-76.00,-61.83,486
-75.53,-61.00,486
-75.00,-60.07,486
-74.35,-59.00,486
-74.00,-58.47,486
-73.20,-57.00,486
-72.54,-56.00,486
-72.00,-55.25,486
-71.15,-54.00,486
-70.55,-53.00,486
-70.00,-52.03,486
-69.42,-51.00,486
-69.00,-50.24,486
-68.27,-49.00,486
-67.68,-48.00,486
-67.06,-47.00,486
-66.48,-46.00,486
-66.00,-45.09,486
-65.51,-44.00,486
-65.09,-43.00,486
-64.69,-42.00,486
-64.27,-41.00,486
-64.00,-40.41,486
-63.00,-39.00,486
-62.45,-38.00,486
-62.00,-37.12,486
-61.68,-36.00,486
-61.53,-35.00,486
-61.51,-34.00,486
-61.62,-33.00,486
-61.92,-32.00,486
-62.33,-31.00,486
-62.65,-30.00,486
-62.89,-29.00,486
-63.06,-28.00,486
-63.17,-27.00,486
-63.26,-26.00,486
-63.32,-25.00,486
-63.35,-24.00,486
-63.35,-23.00,486
-63.33,-22.00,486
-63.29,-21.00,486
-63.23,-20.00,486
-63.17,-19.00,486
-63.14,-18.00,486
-63.16,-17.00,486
-63.22,-16.00,486
-63.29,-15.00,486
-63.34,-14.00,486
-63.44,-13.00,486
-63.61,-12.00,486
-63.89,-11.00,486
-64.37,-10.00,486
-64.94,-9.00,486
-66.00,-8.20,486
-67.00,-8.13,486
-68.00,-8.02,486
-69.00,-8.32,486
-70.00,-8.85,486
-71.00,-9.51,486
-71.49,-10.00,486
-72.00,-10.97,486
-72.88,-12.00,486
-73.58,-13.00,486
