[Latitude],[Longitude],[Value]
-50.10,180.00,0.50
-50.00,179.91,0.50
-49.93,180.00,0.50

-45.36,180.00,0.50
-45.36,179.65,0.50
-45.36,179.35,0.50
-45.27,179.10,0.50
-45.16,179.00,0.50
-45.01,178.94,0.50
-45.00,178.94,0.50
-44.85,179.00,0.50
-44.76,179.09,0.50
-44.73,179.34,0.50
-44.73,179.64,0.50
-44.73,180.00,0.50

47.89,180.00,0.50
47.63,179.72,0.50
47.36,179.44,0.50
47.10,179.16,0.50
47.00,179.06,0.50
46.94,179.00,0.50
46.83,178.89,0.50
46.56,178.61,0.50
46.29,178.34,0.50
46.01,178.08,0.50
46.00,178.06,0.50
45.82,178.00,0.50
45.94,177.88,0.50
46.00,177.82,0.50
46.23,177.61,0.50
46.54,177.34,0.50
46.71,177.02,0.50
46.71,177.00,0.50
46.71,176.63,0.50
46.68,176.25,0.50
46.66,176.00,0.50
46.65,175.87,0.50
46.63,175.48,0.50
46.61,175.10,0.50
46.61,175.00,0.50
46.48,174.77,0.50
46.15,174.54,0.50
46.00,174.38,0.50
45.89,174.21,0.50
45.82,174.00,0.50
45.85,173.87,0.50
46.00,173.63,0.50
46.08,173.53,0.50
46.36,173.27,0.50
46.62,173.00,0.50
46.62,173.00,0.50
46.71,172.64,0.50
46.73,172.24,0.50
46.81,172.00,0.50
46.89,171.89,0.50
47.00,171.81,0.50
47.25,171.71,0.50
47.63,171.64,0.50
48.00,171.63,0.50
48.00,171.63,0.50
48.39,171.64,0.50
48.77,171.70,0.50
49.00,171.83,0.50
49.10,171.92,0.50
49.17,172.00,0.50
49.37,172.20,0.50
49.64,172.47,0.50
49.91,172.74,0.50
50.00,172.82,0.50
50.18,173.00,0.50
50.19,173.01,0.50
50.46,173.28,0.50
50.73,173.55,0.50
51.00,173.82,0.50
51.00,173.82,0.50
51.08,174.00,0.50
51.13,174.18,0.50
51.17,174.57,0.50
51.23,174.95,0.50
51.25,175.00,0.50
51.45,175.25,0.50
51.77,175.49,0.50
52.00,175.76,0.50
52.01,175.79,0.50
52.07,176.00,0.50
52.08,176.16,0.50
52.11,176.54,0.50
52.12,176.93,0.50
52.12,177.00,0.50
52.12,177.31,0.50
52.12,177.70,0.50
52.12,178.00,0.50
52.12,178.08,0.50
52.12,178.46,0.50
52.12,178.85,0.50
52.12,179.00,0.50
52.12,179.23,0.50
52.12,179.62,0.50
52.12,180.00,0.50

52.12,-180.00,0.50
52.45,-179.74,0.50
52.73,-179.45,0.50
52.99,-179.12,0.50
53.00,-179.12,0.50
53.06,-179.00,0.50
53.09,-178.73,0.50
53.11,-178.32,0.50
53.12,-178.00,0.50
53.12,-177.90,0.50
53.12,-177.49,0.50
53.12,-177.08,0.50
53.12,-177.00,0.50
53.12,-176.67,0.50
53.12,-176.25,0.50
53.12,-176.00,0.50
53.12,-175.84,0.50
53.12,-175.43,0.50
53.12,-175.02,0.50
53.12,-175.00,0.50
53.12,-174.60,0.50
53.12,-174.19,0.50
53.12,-174.00,0.50
53.12,-173.78,0.50
53.12,-173.37,0.50
53.12,-173.00,0.50
53.12,-172.95,0.50
53.12,-172.54,0.50
53.12,-172.13,0.50
53.12,-172.00,0.50
53.21,-171.75,0.50
53.54,-171.48,0.50
53.90,-171.22,0.50
54.00,-171.09,0.50
54.05,-171.00,0.50
54.06,-170.85,0.50
54.10,-170.44,0.50
54.11,-170.02,0.50
54.11,-170.00,0.50
54.11,-169.61,0.50
54.11,-169.20,0.50
54.11,-169.00,0.50
54.11,-168.79,0.50
54.11,-168.37,0.50
54.11,-168.00,0.50
54.11,-167.96,0.50
54.11,-167.55,0.50
54.11,-167.14,0.50
54.11,-167.00,0.50
54.11,-166.72,0.50
54.11,-166.31,0.50
54.11,-166.00,0.50
54.12,-165.90,0.50
54.37,-165.60,0.50
54.76,-165.35,0.50
55.00,-165.11,0.50
55.03,-165.04,0.50
55.06,-165.00,0.50
55.29,-164.71,0.50
55.57,-164.41,0.50
55.88,-164.14,0.50
56.00,-164.05,0.50
56.10,-164.00,0.50
56.21,-163.89,0.50
56.50,-163.60,0.50
56.79,-163.31,0.50
57.00,-163.10,0.50
57.09,-163.02,0.50
57.10,-163.00,0.50
57.11,-162.61,0.50
57.11,-162.19,0.50
57.11,-162.00,0.50
57.11,-161.78,0.50
57.11,-161.37,0.50
57.11,-161.00,0.50
57.09,-160.95,0.50
57.00,-160.86,0.50
56.86,-161.00,0.50
56.80,-161.06,0.50
56.51,-161.36,0.50
56.22,-161.65,0.50
56.00,-161.86,0.50
55.93,-161.86,0.50
55.64,-161.73,0.50
55.34,-161.28,0.50
55.14,-161.00,0.50
55.05,-160.91,0.50
55.00,-160.86,0.50
54.76,-160.62,0.50
54.47,-160.33,0.50
54.18,-160.04,0.50
54.14,-160.00,0.50
54.09,-159.67,0.50
54.09,-159.22,0.50
54.09,-159.00,0.50
54.19,-158.86,0.50
54.48,-158.56,0.50
54.78,-158.27,0.50
55.00,-158.01,0.50
55.01,-158.00,0.50
55.01,-157.94,0.50
55.00,-157.59,0.50
54.95,-157.59,0.50
54.57,-157.63,0.50
54.17,-157.87,0.50
54.00,-157.92,0.50
53.76,-157.93,0.50
53.34,-157.92,0.50
53.00,-157.96,0.50
52.95,-158.00,0.50
52.94,-158.00,0.50
52.65,-158.39,0.50
52.35,-158.83,0.50
52.06,-158.92,0.50
52.00,-158.92,0.50
51.76,-158.69,0.50
51.47,-158.40,0.50
51.18,-158.10,0.50
51.08,-158.00,0.50
51.00,-157.92,0.50
50.88,-157.81,0.50
50.54,-157.55,0.50
50.24,-157.27,0.50
50.10,-157.00,0.50
50.10,-156.89,0.50
50.10,-156.48,0.50
50.10,-156.06,0.50
50.10,-156.00,0.50
50.10,-155.65,0.50
50.09,-155.24,0.50
50.09,-155.00,0.50
50.09,-154.83,0.50
50.09,-154.41,0.50
50.08,-154.00,0.50
50.08,-154.00,0.50
50.08,-153.59,0.50
50.08,-153.18,0.50
50.03,-153.00,0.50
50.00,-152.96,0.50
49.96,-153.00,0.50
49.91,-153.14,0.50
