[Latitude],[Longitude],[Value]
57.32,-163.69,0.50
57.31,-163.30,0.50
57.30,-163.00,0.50
57.30,-162.92,0.50
57.30,-162.53,0.50
57.30,-162.14,0.50
57.29,-162.00,0.50
57.14,-161.71,0.50
57.00,-161.67,0.50
56.86,-161.81,0.50
56.68,-162.00,0.50
56.59,-162.10,0.50
56.31,-162.38,0.50
56.04,-162.65,0.50
56.00,-162.68,0.50
55.76,-162.63,0.50
55.48,-162.22,0.50
55.27,-162.00,0.50
55.16,-161.94,0.50
55.00,-161.91,0.50
54.85,-162.00,0.50
54.81,-162.03,0.50
54.53,-162.31,0.50
54.27,-162.59,0.50
54.00,-162.83,0.50
53.98,-162.84,0.50
53.65,-163.00,0.50
53.63,-163.02,0.50
53.37,-163.31,0.50
53.10,-163.60,0.50
53.00,-163.64,0.50
52.72,-163.68,0.50
52.33,-163.68,0.50
52.00,-163.69,0.50
51.94,-163.70,0.50
51.55,-163.74,0.50
51.17,-163.82,0.50
51.00,-163.89,0.50
50.94,-164.00,0.50
50.89,-164.06,0.50
50.62,-164.34,0.50
50.34,-164.62,0.50
50.05,-164.88,0.50
50.00,-164.92,0.50
49.90,-165.00,0.50
49.76,-165.14,0.50
49.51,-165.49,0.50
49.25,-165.80,0.50
49.00,-165.89,0.50
48.90,-165.89,0.50
48.51,-165.89,0.50
48.12,-165.89,0.50
48.00,-165.89,0.50
47.73,-165.89,0.50
47.34,-165.89,0.50
47.00,-165.89,0.50
46.96,-165.88,0.50
46.66,-165.69,0.50
46.43,-165.34,0.50
46.15,-165.03,0.50
46.10,-165.00,0.50
46.00,-164.97,0.50
45.90,-165.00,0.50
45.79,-165.07,0.50
45.52,-165.38,0.50
45.28,-165.70,0.50
45.00,-165.88,0.50
44.97,-165.89,0.50
44.58,-165.92,0.50
44.19,-165.90,0.50
44.00,-165.92,0.50
43.80,-165.96,0.50
43.72,-166.00,0.50
43.48,-166.20,0.50
43.22,-166.48,0.50
43.00,-166.70,0.50
42.95,-166.75,0.50
42.64,-166.99,0.50
42.64,-167.00,0.50
42.64,-167.35,0.50
42.81,-167.74,0.50
42.88,-168.00,0.50
42.89,-168.13,0.50
42.89,-168.52,0.50
42.91,-168.91,0.50
42.91,-169.00,0.50
42.98,-169.30,0.50
43.00,-169.37,0.50
43.22,-169.59,0.50
43.58,-169.87,0.50
43.62,-170.00,0.50
43.53,-170.14,0.50
43.20,-170.42,0.50
43.00,-170.62,0.50
42.95,-170.71,0.50
42.83,-171.00,0.50
42.81,-171.08,0.50
42.72,-171.46,0.50
42.65,-171.84,0.50
42.64,-172.00,0.50
42.64,-172.23,0.50
42.64,-172.62,0.50
42.66,-173.00,0.50
42.66,-173.01,0.50
42.75,-173.39,0.50
42.86,-173.77,0.50
42.88,-174.00,0.50
42.88,-174.15,0.50
42.88,-174.54,0.50
42.88,-174.93,0.50
