[Latitude],[Longitude],[Value]
42.83,180.00,0.50
42.86,179.62,0.50
42.87,179.24,0.50
42.88,179.00,0.50
42.88,178.87,0.50
42.88,178.49,0.50
42.88,178.11,0.50
42.88,178.00,0.50
42.84,177.73,0.50
42.73,177.36,0.50
42.73,177.00,0.50
42.73,176.99,0.50
43.00,176.88,0.50
43.07,176.95,0.50
43.12,177.00,0.50
43.34,177.27,0.50
43.60,177.63,0.50
43.87,177.87,0.50
44.00,177.88,0.50
44.14,177.83,0.50
44.41,177.58,0.50
44.68,177.25,0.50
44.90,177.00,0.50
44.95,176.95,0.50
45.00,176.90,0.50
45.25,176.68,0.50
45.60,176.41,0.50
45.85,176.15,0.50
45.89,176.00,0.50
45.86,175.88,0.50
45.63,175.61,0.50
45.28,175.34,0.50
45.00,175.10,0.50
44.97,175.07,0.50
44.90,175.00,0.50
44.70,174.81,0.50
44.43,174.55,0.50
44.17,174.29,0.50
44.00,174.11,0.50
43.93,174.00,0.50
43.93,173.99,0.50
44.00,173.89,0.50
44.19,173.70,0.50
44.50,173.46,0.50
44.77,173.21,0.50
44.89,173.00,0.50
44.89,172.86,0.50
44.89,172.49,0.50
44.89,172.11,0.50
44.89,172.00,0.50
44.85,171.73,0.50
44.78,171.36,0.50
44.73,171.00,0.50
44.72,170.98,0.50
44.73,170.61,0.50
44.73,170.23,0.50
44.72,170.00,0.50
44.66,169.87,0.50
44.38,169.61,0.50
44.07,169.37,0.50
44.00,169.28,0.50
43.88,169.04,0.50
43.87,169.00,0.50
43.83,168.67,0.50
43.83,168.28,0.50
43.83,168.00,0.50
43.87,167.91,0.50
44.00,167.73,0.50
44.11,167.62,0.50
44.39,167.36,0.50
44.67,167.11,0.50
44.78,167.00,0.50
44.92,166.82,0.50
45.00,166.75,0.50
45.24,166.75,0.50
45.63,166.76,0.50
46.00,166.90,0.50
46.01,166.90,0.50
46.22,167.00,0.50
46.34,167.08,0.50
46.61,167.35,0.50
46.87,167.62,0.50
47.00,167.72,0.50
47.20,167.78,0.50
47.59,167.77,0.50
47.97,167.82,0.50
48.00,167.84,0.50
48.16,168.00,0.50
48.21,168.11,0.50
48.27,168.49,0.50
48.33,168.87,0.50
48.38,169.00,0.50
48.53,169.17,0.50
48.83,169.41,0.50
49.00,169.61,0.50
49.05,169.71,0.50
49.16,170.00,0.50
49.18,170.07,0.50
49.27,170.44,0.50
49.34,170.81,0.50
49.37,171.00,0.50
49.38,171.19,0.50
49.37,171.57,0.50
49.38,171.94,0.50
49.39,172.00,0.50
49.58,172.25,0.50
49.89,172.49,0.50
50.00,172.62,0.50
50.08,172.81,0.50
50.18,173.00,0.50
50.28,173.13,0.50
50.55,173.39,0.50
50.84,173.65,0.50
51.00,173.85,0.50
51.05,173.96,0.50
51.07,174.00,0.50
51.28,174.25,0.50
51.54,174.53,0.50
51.81,174.79,0.50
52.00,174.95,0.50
52.06,175.00,0.50
52.10,175.04,0.50
52.37,175.30,0.50
52.64,175.58,0.50
52.90,175.85,0.50
53.00,175.94,0.50
53.06,176.00,0.50
53.00,176.07,0.50
52.96,176.11,0.50
52.70,176.38,0.50
52.44,176.66,0.50
52.18,176.94,0.50
52.13,177.00,0.50
52.13,177.26,0.50
52.13,177.67,0.50
52.25,178.00,0.50
52.27,178.04,0.50
52.52,178.32,0.50
52.80,178.59,0.50
53.00,178.85,0.50
53.01,178.89,0.50
53.04,179.00,0.50
53.20,179.21,0.50
53.45,179.49,0.50
53.72,179.76,0.50
54.00,179.99,0.50
54.02,180.00,0.50

57.74,180.00,0.50
57.99,179.74,0.50
58.00,179.74,0.50
58.25,179.48,0.50
58.51,179.22,0.50
58.70,179.00,0.50
58.70,178.96,0.50
58.58,178.69,0.50
58.20,178.43,0.50
58.00,178.24,0.50
57.95,178.15,0.50
57.88,178.00,0.50
57.79,177.81,0.50
57.73,177.43,0.50
57.73,177.08,0.50
57.73,177.00,0.50
57.98,176.91,0.50
58.00,176.90,0.50
58.36,176.90,0.50
58.74,176.90,0.50
59.00,176.90,0.50
59.05,176.94,0.50
59.10,177.00,0.50
59.30,177.20,0.50
59.55,177.46,0.50
59.81,177.71,0.50
60.00,177.90,0.50
60.07,177.91,0.50
60.42,177.91,0.50
60.81,177.90,0.50
61.00,177.91,0.50
61.17,177.95,0.50
61.26,178.00,0.50
61.26,178.23,0.50
61.17,178.63,0.50
61.16,178.98,0.50
61.16,179.00,0.50
61.40,179.24,0.50
61.65,179.49,0.50
61.91,179.75,0.50
62.00,179.84,0.50
62.16,180.00,0.50

63.83,180.00,0.50
64.00,179.91,0.50
64.12,180.00,0.50

64.12,-180.00,0.50
64.29,-179.63,0.50
64.39,-179.25,0.50
64.40,-179.00,0.50
64.38,-178.88,0.50
64.28,-178.50,0.50
64.19,-178.13,0.50
64.17,-178.00,0.50
64.17,-177.74,0.50
64.17,-177.35,0.50
64.17,-177.00,0.50
64.17,-176.96,0.50
64.15,-176.58,0.50
64.13,-176.19,0.50
64.11,-176.00,0.50
64.07,-175.81,0.50
64.00,-175.65,0.50
63.88,-175.48,0.50
63.56,-175.23,0.50
63.35,-175.00,0.50
63.32,-174.94,0.50
63.32,-174.55,0.50
63.32,-174.14,0.50
63.32,-174.00,0.50
63.45,-173.81,0.50
63.72,-173.53,0.50
63.96,-173.22,0.50
64.00,-173.15,0.50
64.06,-173.00,0.50
64.09,-172.86,0.50
64.14,-172.47,0.50
64.22,-172.09,0.50
64.26,-172.00,0.50
64.41,-171.75,0.50
64.64,-171.44,0.50
64.89,-171.15,0.50
65.00,-171.03,0.50
65.03,-171.00,0.50
65.16,-170.86,0.50
65.43,-170.57,0.50
65.71,-170.29,0.50
65.98,-170.04,0.50
66.00,-170.03,0.50
66.25,-170.04,0.50
66.53,-170.39,0.50
66.80,-170.82,0.50
66.97,-171.00,0.50
67.00,-171.01,0.50
67.01,-171.00,0.50
67.04,-170.90,0.50
67.10,-170.52,0.50
67.11,-170.13,0.50
67.12,-170.00,0.50
67.12,-169.75,0.50
67.12,-169.36,0.50
67.11,-169.00,0.50
67.11,-168.97,0.50
67.00,-168.73,0.50
66.89,-168.73,0.50
66.50,-168.73,0.50
66.10,-168.78,0.50
66.00,-168.83,0.50
65.74,-168.94,0.50
65.64,-169.00,0.50
65.44,-169.20,0.50
65.20,-169.54,0.50
65.00,-169.63,0.50
64.85,-169.63,0.50
64.47,-169.64,0.50
64.08,-169.65,0.50
64.00,-169.65,0.50
63.69,-169.66,0.50
63.30,-169.67,0.50
63.00,-169.68,0.50
62.92,-169.68,0.50
62.53,-169.67,0.50
62.14,-169.67,0.50
62.00,-169.67,0.50
61.79,-169.79,0.50
61.65,-170.00,0.50
61.62,-170.14,0.50
61.64,-170.55,0.50
61.65,-170.94,0.50
61.62,-171.00,0.50
61.41,-171.23,0.50
61.11,-171.48,0.50
61.00,-171.62,0.50
60.91,-171.81,0.50
60.81,-172.00,0.50
60.71,-172.14,0.50
60.45,-172.42,0.50
60.16,-172.69,0.50
60.00,-172.81,0.50
59.83,-172.90,0.50
59.62,-173.00,0.50
59.52,-173.11,0.50
59.24,-173.54,0.50
59.00,-173.62,0.50
58.97,-173.59,0.50
58.69,-173.32,0.50
58.42,-173.04,0.50
58.38,-173.00,0.50
58.15,-172.77,0.50
58.00,-172.63,0.50
57.85,-172.51,0.50
57.51,-172.26,0.50
57.38,-172.00,0.50
57.38,-171.92,0.50
57.38,-171.54,0.50
57.37,-171.15,0.50
57.37,-171.00,0.50
57.37,-170.76,0.50
57.36,-170.38,0.50
57.36,-170.00,0.50
57.36,-169.99,0.50
57.36,-169.60,0.50
57.36,-169.22,0.50
57.36,-169.00,0.50
57.27,-168.80,0.50
57.00,-168.63,0.50
56.97,-168.66,0.50
56.70,-168.93,0.50
56.63,-169.00,0.50
56.43,-169.24,0.50
56.15,-169.53,0.50
56.00,-169.63,0.50
55.87,-169.62,0.50
55.58,-169.34,0.50
55.29,-169.00,0.50
55.29,-169.00,0.50
55.00,-168.74,0.50
55.00,-168.73,0.50
54.73,-169.00,0.50
54.73,-169.00,0.50
54.70,-169.39,0.50
54.70,-169.78,0.50
54.70,-170.00,0.50
54.70,-170.16,0.50
54.69,-170.55,0.50
54.67,-170.94,0.50
54.67,-171.00,0.50
54.52,-171.26,0.50
54.17,-171.50,0.50
54.00,-171.68,0.50
53.97,-171.82,0.50
53.92,-172.00,0.50
53.79,-172.15,0.50
53.53,-172.44,0.50
53.25,-172.71,0.50
53.00,-172.92,0.50
52.96,-172.96,0.50
52.90,-173.00,0.50
52.67,-173.21,0.50
52.40,-173.50,0.50
52.13,-173.78,0.50
52.00,-173.89,0.50
51.81,-173.89,0.50
51.39,-173.89,0.50
51.01,-173.89,0.50
51.00,-173.89,0.50
50.73,-173.63,0.50
50.46,-173.35,0.50
50.19,-173.07,0.50
50.11,-173.00,0.50
50.00,-172.90,0.50
49.90,-172.81,0.50
49.62,-172.55,0.50
49.35,-172.28,0.50
49.10,-172.00,0.50
49.09,-171.98,0.50
49.00,-171.62,0.50
49.03,-171.21,0.50
49.00,-171.00,0.50
49.00,-171.00,0.50
48.90,-170.85,0.50
48.64,-170.57,0.50
48.35,-170.30,0.50
48.11,-170.00,0.50
48.11,-170.00,0.50
48.07,-169.63,0.50
48.11,-169.23,0.50
48.04,-169.00,0.50
48.00,-168.96,0.50
