[Latitude],[Longitude],[Value]
-58.09,180.00,0.50
-58.09,179.55,0.50
-58.16,179.16,0.50
-58.24,179.00,0.50
-58.39,178.83,0.50
-58.70,178.56,0.50
-58.99,178.26,0.50
-59.00,178.25,0.50
-59.14,178.00,0.50
-59.18,177.89,0.50
-59.29,177.49,0.50
-59.33,177.08,0.50
-59.33,177.00,0.50
-59.31,176.67,0.50
-59.28,176.26,0.50
-59.25,176.00,0.50
-59.24,175.85,0.50
-59.19,175.44,0.50
-59.14,175.03,0.50
-59.14,175.00,0.50
-59.14,174.61,0.50
-59.14,174.20,0.50
-59.18,174.00,0.50
-59.28,173.82,0.50
-59.61,173.56,0.50
-59.94,173.30,0.50
-60.00,173.23,0.50
-60.14,173.00,0.50
-60.16,172.95,0.50
-60.27,172.55,0.50
-60.33,172.14,0.50
-60.35,172.00,0.50
-60.35,171.73,0.50
-60.35,171.31,0.50
-60.35,171.00,0.50
-60.34,170.90,0.50
-60.22,170.51,0.50
-60.11,170.11,0.50
-60.10,170.00,0.50
-60.10,169.69,0.50
-60.10,169.28,0.50
-60.10,169.00,0.50
-60.11,168.87,0.50
-60.11,168.46,0.50
-60.11,168.04,0.50
-60.11,168.00,0.50
-60.11,167.63,0.50
-60.11,167.22,0.50
-60.11,167.00,0.50
-60.11,166.81,0.50
-60.09,166.39,0.50
-60.06,166.00,0.50
-60.05,165.98,0.50
-60.00,165.89,0.50
-59.77,165.66,0.50
-59.39,165.41,0.50
-59.13,165.12,0.50
-59.11,165.00,0.50
-59.11,164.72,0.50
-59.11,164.30,0.50
-59.12,164.00,0.50
-59.12,163.89,0.50
-59.12,163.48,0.50
-59.12,163.06,0.50
-59.12,163.00,0.50
-59.12,162.65,0.50
-59.12,162.24,0.50
-59.12,162.00,0.50
-59.11,161.83,0.50
-59.09,161.41,0.50
-59.06,161.00,0.50
-59.06,161.00,0.50
-59.00,160.89,0.50
-58.74,160.78,0.50
-58.28,160.78,0.50
-58.00,160.78,0.50
-57.95,160.86,0.50
-57.88,161.00,0.50
-57.70,161.18,0.50
-57.41,161.48,0.50
-57.11,161.77,0.50
-57.00,161.88,0.50
-56.89,162.00,0.50
-56.89,162.08,0.50
-57.00,162.32,0.50
-57.11,162.44,0.50
-57.40,162.74,0.50
-57.67,163.00,0.50
-57.69,163.03,0.50
-57.99,163.32,0.50
-58.00,163.33,0.50
-58.30,163.58,0.50
-58.59,163.87,0.50
-58.67,164.00,0.50
-58.67,164.27,0.50
-58.67,164.69,0.50
-58.67,165.00,0.50
-58.67,165.10,0.50
-58.67,165.51,0.50
-58.67,165.93,0.50
-58.67,166.00,0.50
-58.67,166.34,0.50
-58.67,166.75,0.50
-58.67,167.00,0.50
-58.67,167.16,0.50
-58.67,167.58,0.50
-58.69,167.99,0.50
-58.70,168.00,0.50
-58.98,168.29,0.50
-59.00,168.31,0.50
-59.27,168.58,0.50
-59.56,168.87,0.50
-59.69,169.00,0.50
-59.75,169.20,0.50
-59.75,169.66,0.50
-59.75,170.00,0.50
-59.71,170.04,0.50
-59.44,170.35,0.50
-59.16,170.65,0.50
-59.00,170.83,0.50
-58.89,170.96,0.50
-58.85,171.00,0.50
-58.61,171.27,0.50
-58.33,171.57,0.50
-58.05,171.87,0.50
-58.00,171.93,0.50
-57.97,172.00,0.50
-58.00,172.03,0.50
-58.15,172.19,0.50
-58.44,172.48,0.50
-58.72,172.79,0.50
-58.90,173.00,0.50
-58.90,173.11,0.50
-58.90,173.53,0.50
-58.86,173.96,0.50
-58.84,174.00,0.50
-58.69,174.33,0.50
-58.49,174.70,0.50
-58.30,175.00,0.50
-58.27,175.05,0.50
-58.00,175.36,0.50
-58.00,175.36,0.50
-57.65,175.59,0.50
-57.28,175.78,0.50
-57.00,175.94,0.50
-56.93,175.99,0.50
-56.93,176.00,0.50
-56.75,176.38,0.50
-56.69,176.79,0.50
-56.68,177.00,0.50
-56.68,177.20,0.50
-56.68,177.61,0.50
-56.68,178.00,0.50
-56.68,178.03,0.50
-56.68,178.44,0.50
-56.68,178.85,0.50
-56.70,179.00,0.50
-56.90,179.17,0.50
-57.00,179.23,0.50
-57.22,179.43,0.50
-57.53,179.71,0.50
-57.82,180.00,0.50

-55.98,180.00,0.50
-56.00,179.95,0.50
-56.04,180.00,0.50

-50.33,180.00,0.50
-50.00,179.67,0.50
-49.84,180.00,0.50

43.78,180.00,0.50
43.49,179.75,0.50
43.23,179.49,0.50
43.00,179.22,0.50
42.98,179.20,0.50
42.87,179.00,0.50
42.81,178.85,0.50
42.71,178.49,0.50
42.65,178.12,0.50
42.63,178.00,0.50
42.63,177.75,0.50
42.63,177.37,0.50
42.77,177.00,0.50
42.77,177.00,0.50
43.00,176.89,0.50
43.09,176.98,0.50
43.11,177.00,0.50
43.36,177.24,0.50
43.62,177.51,0.50
43.89,177.78,0.50
44.00,177.88,0.50
44.19,177.88,0.50
44.59,177.88,0.50
44.95,177.64,0.50
45.00,177.60,0.50
45.22,177.38,0.50
45.49,177.11,0.50
45.60,177.00,0.50
45.76,176.84,0.50
46.00,176.59,0.50
46.02,176.57,0.50
46.29,176.30,0.50
46.55,176.03,0.50
46.59,176.00,0.50
46.49,175.77,0.50
46.08,175.50,0.50
46.00,175.39,0.50
45.94,175.16,0.50
