[Latitude],[Longitude],[Value]
-60.23,180.00,0.50
-60.23,179.58,0.50
-60.23,179.20,0.50
-60.23,179.00,0.50
-60.32,178.87,0.50
-60.62,178.62,0.50
-60.91,178.35,0.50
-61.00,178.20,0.50
-61.06,178.00,0.50
-61.06,177.99,0.50
-61.08,177.61,0.50
-61.09,177.22,0.50
-61.09,177.00,0.50
-61.09,176.83,0.50
-61.08,176.44,0.50
-61.07,176.05,0.50
-61.07,176.00,0.50
-61.08,175.67,0.50
-61.09,175.28,0.50
-61.09,175.00,0.50
-61.09,174.89,0.50
-61.10,174.50,0.50
-61.10,174.12,0.50
-61.10,174.00,0.50
-61.11,173.73,0.50
-61.11,173.34,0.50
-61.11,173.00,0.50
-61.11,172.95,0.50
-61.11,172.56,0.50
-61.11,172.18,0.50
-61.10,172.00,0.50
-61.03,171.77,0.50
-61.00,171.76,0.50
-60.86,172.00,0.50
-60.83,172.05,0.50
-60.61,172.36,0.50
-60.37,172.67,0.50
-60.13,172.98,0.50
-60.11,173.00,0.50
-60.00,173.11,0.50
-59.94,173.31,0.50
-59.88,173.69,0.50
-59.84,174.00,0.50
-59.83,174.08,0.50
-59.84,174.47,0.50
-59.79,174.86,0.50
-59.73,175.00,0.50
-59.58,175.19,0.50
-59.31,175.47,0.50
-59.03,175.73,0.50
-59.00,175.77,0.50
-58.77,176.00,0.50
-58.76,176.01,0.50
-58.50,176.29,0.50
-58.23,176.56,0.50
-58.00,176.73,0.50
-57.89,176.75,0.50
-57.51,176.75,0.50
-57.11,176.74,0.50
-57.00,176.75,0.50
-56.72,176.78,0.50
-56.34,176.83,0.50
-56.00,176.90,0.50
-55.96,176.91,0.50
-55.78,177.00,0.50
-55.65,177.11,0.50
-55.37,177.45,0.50
-55.10,177.73,0.50
-55.00,177.77,0.50
-54.82,177.71,0.50
-54.55,177.36,0.50
-54.27,177.03,0.50
-54.22,177.00,0.50
-54.00,176.94,0.50
-53.91,176.94,0.50
-53.52,176.94,0.50
-53.13,176.94,0.50
-53.00,176.96,0.50
-52.98,177.00,0.50
-53.00,177.05,0.50
-53.10,177.18,0.50
-53.38,177.45,0.50
-53.67,177.71,0.50
-53.93,177.98,0.50
-53.94,178.00,0.50
-54.00,178.12,0.50
-54.15,178.29,0.50
-54.44,178.56,0.50
-54.73,178.82,0.50
-54.92,179.00,0.50
-54.97,179.11,0.50
-55.00,179.15,0.50
-55.31,179.15,0.50
-55.74,179.10,0.50
-56.00,179.10,0.50
-56.09,179.15,0.50
-56.39,179.35,0.50
-56.67,179.63,0.50
-56.91,180.00,0.50

47.61,180.00,0.50
47.34,179.73,0.50
47.07,179.45,0.50
47.00,179.38,0.50
46.79,179.18,0.50
46.62,179.00,0.50
46.52,178.90,0.50
46.25,178.63,0.50
46.00,178.38,0.50
45.97,178.35,0.50
45.59,178.33,0.50
45.16,178.33,0.50
45.00,178.33,0.50
44.86,178.46,0.50
44.59,178.74,0.50
44.34,179.00,0.50
44.32,179.02,0.50
44.05,179.29,0.50
44.00,179.35,0.50
43.73,179.35,0.50
43.32,179.33,0.50
43.00,179.11,0.50
42.95,179.07,0.50
42.91,179.00,0.50
42.84,178.70,0.50
42.79,178.32,0.50
42.76,178.00,0.50
42.76,177.93,0.50
42.76,177.55,0.50
42.76,177.16,0.50
42.77,177.00,0.50
42.97,176.89,0.50
43.00,176.89,0.50
43.26,177.00,0.50
43.32,177.05,0.50
43.61,177.44,0.50
